id,author_id,parent_id,step,week_number,step_number,timestamp,likes
8742666,b92b1383-1b67-4936-a2f5-3f6cb0b438cb,,1.4,1,4,2015-11-09 00:33:38 UTC,2
8743049,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.2,1,2,2015-11-09 01:09:36 UTC,5
8743085,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.3,1,3,2015-11-09 01:12:13 UTC,2
8743209,9406812a-c9ff-4895-9859-351addd738fe,8742666,1.4,1,4,2015-11-09 01:21:31 UTC,5
8743226,33a0fdf0-4523-47eb-9f85-83604fc06a9c,,1.1,1,1,2015-11-09 01:22:41 UTC,1
8743241,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.4,1,4,2015-11-09 01:24:10 UTC,2
8743335,a1a7bff8-9e97-44ee-b613-7d93e3f13570,,1.1,1,1,2015-11-09 01:32:37 UTC,14
8743337,017d5730-536b-40e7-9214-c847f23c1ae9,,1.2,1,2,2015-11-09 01:33:14 UTC,6
8743380,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.5,1,5,2015-11-09 01:37:05 UTC,6
8743531,da99df2c-0d40-46ee-bc24-4da06fd86add,,1.2,1,2,2015-11-09 01:48:52 UTC,3
8743571,dcf3345a-5a96-4196-a11f-166ae93fa02f,,1.2,1,2,2015-11-09 01:52:55 UTC,3
8743633,b92b1383-1b67-4936-a2f5-3f6cb0b438cb,8743571,1.2,1,2,2015-11-09 01:57:42 UTC,1
8743649,a1a7bff8-9e97-44ee-b613-7d93e3f13570,,1.2,1,2,2015-11-09 01:59:07 UTC,2
8743677,133b1602-5a01-4dc9-a2c7-2d6686442fc2,,1.2,1,2,2015-11-09 02:01:21 UTC,1
8743682,b92b1383-1b67-4936-a2f5-3f6cb0b438cb,8743571,1.2,1,2,2015-11-09 02:01:47 UTC,1
8743752,dcf3345a-5a96-4196-a11f-166ae93fa02f,,1.3,1,3,2015-11-09 02:09:16 UTC,1
8743787,b92b1383-1b67-4936-a2f5-3f6cb0b438cb,8742666,1.4,1,4,2015-11-09 02:12:16 UTC,0
8743917,bdbef8d5-9184-449e-90a2-b39ee96c1518,,1.2,1,2,2015-11-09 02:23:55 UTC,11
8743932,3e912a23-d7f2-4263-9c9c-dc4432697708,8743085,1.3,1,3,2015-11-09 02:25:33 UTC,1
8743950,56becd90-2028-4c78-9745-6d12b1b1bd7b,,1.5,1,5,2015-11-09 02:26:53 UTC,1
8743970,39873c85-5bd3-4bb2-9530-5d732efcb72c,,1.2,1,2,2015-11-09 02:29:04 UTC,1
8744045,d7e31d27-b039-403c-9567-d220dc5fc34d,,1.3,1,3,2015-11-09 02:35:31 UTC,0
8744054,98c22774-36b9-446d-a4b6-2da5a519589c,,1.1,1,1,2015-11-09 02:36:33 UTC,0
8744094,dcf3345a-5a96-4196-a11f-166ae93fa02f,,1.4,1,4,2015-11-09 02:41:19 UTC,2
